gse,titel,zusammenfassung,n_proben,typ,taxon,datum,achse,urteil,code,begruendung
GSE69111,Distinct regulatory programs for Sox9 in transcriptional regulation of the developing mammalian chondrocyte,This SuperSeries is composed of the SubSeries listed below.,25.0,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,Mus musculus; Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE188531,Sex-biased and random monoallelic expression of SHOX: implications for sex difference in height,This SuperSeries is composed of the SubSeries listed below.,25.0,Expression profiling by array; Methylation profiling by high throughput sequencing; Expression profiling by high throughput sequencing; Other,Homo sapiens,,SHOX,HAND,-,Handsichtung
GSE206213,WRN promotes bone development and growth by unwinding SHOX-G-quadruplexes via its helicase activity in Werner Syndrome [RNA-seq],"Werner Syndrome (WS) is an autosomal recessive disorder characterized by premature aging due to mutations of the WRN gene. A classical sign in WS patients is short stature, but the underlying mechanisms are not well understood. Here we report that WRN is indispensable for chondrogenesis, which is the engine driving the elongation of bones and determines height.",24.0,Expression profiling by high throughput sequencing,Homo sapiens,,SHOX|FREITEXT_KLEINWUCHS,HAND,-,Handsichtung
GSE248009,Eicosatetraynoic Acid Regulates Pro-Fibrotic Pathways in an Induced Pluripotent Stem Cell Derived Macrophage:Human Intestinal Organoid Model of Crohn’s Disease,"Background: We previously reported Crohn’s Disease (CD) ileal macrophage and fibroblast gene expression modules linked to future strictures, and identified small molecules which may reverse this gene signature. Here we developed a model system to test a lead candidate, eicosatetraynoic acid (ETYA), a Peroxisome Proliferator-Activated Receptor (PPAR) agonist.  Methods: CD patient induced pluripotent stem cells (iPSC) were differentiated into macrophages and human intestinal organoids (HIOs).  Macrophages and macrophage:HIO co-cultures were exposed to lipopolysaccharide (LPS) with and without ETYA pre-treatment. Cytospin and flow cytometry characterized macrophage morphology and activation markers, and RNA sequencing defined the global pattern of macrophage gene expression. TaqMan Low Density Array, Luminex multiplex assay, immunohistologic staining, and sirius red polarized light microscopy were performed to measure macrophage cytokine production and HIO pro-fibrotic gene expression and collagen content. Results: iPSC-derived macrophages exhibited morphology similar to primary macrophages and expressed inflammatory macrophage cell surface markers including CD64 and CD68. LPS-stimulated macrophages expressed a global pattern of gene expression enriched in CD ileal inflammatory macrophages and matrisome secreted products, and produced cytokines and chemokines including CCL2, IL1B, and OSM implicated in refractory disease. ETYA suppressed CD64 abundance and pro-fibrotic gene expression pathways in LPS stimulated macrophages. Co-culture of LPS-primed macrophages with HIO led to up-regulation fibroblast activation genes including ACTA2 and COL1A1, and an increase in HIO collagen content.  ETYA pre-treatment prevented pro-fibrotic effects of LPS-primed macrophages. Conclusions: ETYA inhibits pro-fibrotic effects of LPS-primed macrophages upon co-cultured HIO. This model system may be used to screen personalized effects of candidate small molecules upon inflammatory and fibrotic pathways implicated in refractory CD patients.",24.0,Expression profiling by high throughput sequencing,Homo sapiens,,OI,HAND,-,Handsichtung
GSE35659,A transcriptional map of the impact of endurance exercise training on skeletal muscle phenotype (resting muscle after endurance training),"The molecular pathways which are activated and contribute to physiological remodeling of skeletal muscle in response to endurance exercise have not been fully characterized. We previously reported that ~800 gene transcripts are regulated following 6 weeks of supervised endurance training in young sedentary males, referred to as the training responsive transcriptome (TRT). Here we utilized this database together with data on biological variation in muscle adaptation to aerobic endurance training in both humans and a novel out-bred rodent model to study the potential regulatory molecules that coordinate this complex network of genes. We identified three DNA sequences representing RUNX1, SOX9, and PAX3 transcription factor binding sites as over-represented in the TRT. In turn, miRNA profiling indicated that several miRNAs targeting RUNX1, SOX9 and PAX3 were down-regulated by endurance training. The TRT was then examined by contrasting subjects who demonstrated the least vs. the greatest improvement in aerobic capacity (low vs. high responders), and at least 100 of the 800 TRT genes were differentially regulated, thus suggesting regulation of these genes may be important for improving aerobic capacity. In high responders, pro-angiogenic and tissue developmental networks emerged as key candidates for coordinating tissue aerobic adaptation. Beyond RNA level validation there were several DNA variants that associated with VO(2)max trainability in the HERITAGE Family Study but these did not pass conservative Bonferroni adjustment. In addition, in a rat model selected across 10 generations for high aerobic training responsiveness, we found that both the TRT and a homologous subset of the human high responder genes were regulated to a greater degree in high responder rodent skeletal muscle. This analysis provides a comprehensive map of the transcriptomic features important for aerobic exercise-induced improvements in maximal oxygen consumption.",24.0,Expression profiling by array,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE291355,Implication of bone marrow adipose tissue in bone homeostasis during osteoarthritis,"Objective: To explore the role of bone marrow adipocytes (BMAds) in osteoarthritis (OA). Methods: Male and female C57BL/6 mice (n=4/group) underwent meniscectomy (MNX) or SHAM surgery. OA was determined using OARSI score and the number of perilipin+ adipocytes was quantified. Mesenchymal Stromal Cells (MSCs) from MNX and SHAM mice were differentiated into osteoblasts and adipocytes. Human adipocytes and MSCs (n=8) were enzymatically isolated from epiphyseal and metaphyseal marrow, and from subcutaneous adipose tissue (SCAT) of hip OA patients. Human OA MSCs were differentiated into osteoblasts and adipocytes (OA-Diff-hAdipo). Gene expression patterns of epiphyseal and metaphyseal BMAds, SCAT adipocytes and OA-Diff-hAdipo were evaluated by RNAseq (n=4). The effect conditioned media from OA epiphyseal bone (n=5) on the alkaline phosphatase (ALP) activity and mineralization kinetics was assessed in vitro. Results: Increase in BMAd density was positively correlated with cartilage degradation in MNX mice. OA modified the differentiation capacity of MSCs, accelerating adipocyte differentiation and failing to produce osteoblasts in both human and mice. Human epiphyseal, metaphyseal and SCAT adipocytes from the same OA patients each displayed a specific transcriptome, suggesting different functions. Enrichment analysis defined metaphyseal OA-BMAds as cells implicated in hematopoietic stem cell differentiation. On the other hand, epiphyseal OA-BMAds were considered as osteogenic cells showing an up-regulation of genes related to bone mineralization and remodeling. Specifically, OA epiphysis-secreted molecules decreased ALP activity and altered in vitro the mineralization process. Conclusion: All these results support the emergence of BMAds as new cell partners in OA, opening new venues for therapeutic approaches.",24.0,Expression profiling by high throughput sequencing,Homo sapiens,,FREITEXT_WACHSTUMSFUGE,HAND,-,Handsichtung
GSE66723,Highly efficient in vivo delivery of functional RNAs using new versatile MS2-chimeric retrovirus-like particles,"RNA delivery is a method of choice to achieve transient gene expression for research and in cell- or gene-based therapies. To improve retroviral transfer, we designed a dimerization-independent MS2-driven packaging system using MS2-retrovirus chimeras. We delivered RUNX2- or DLX5-mRNA into primary human bone-marrow mesenchymal-stem-cells. We used microarrays to detail the global programme of gene expression confirming the effects of pro-osteogenic genes transduced by MS2 chimeric lentiviral particles.",24.0,Expression profiling by array,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE228522,Transcriptomic differences underlying the Activin-A induced large osteoclast formation in both healthy control and Fibrodysplasia Ossificans Progressiva osteoclasts,Activin-A has been identified as the driver for heterotopic ossification in FOP. It's effect on osteoclast formation is not extensively studied in control or FOP samples.,24.0,Expression profiling by high throughput sequencing,Homo sapiens,,FOP,HAND,-,Handsichtung
GSE27864,Homeostatic tissue responses in skin biopsies from NOMID patients with constitutive overproduction of IL-1b.,"The autoinflammatory disorder, Neonatal-onset Multisystem Inflammatory Disease (NOMID) is the most severe phenotype of disorders caused by mutations in the CIAS1 gene that result in increased production and secretion of active IL-1≤. NOMID patients present with systemic and organ-specific inflammation of the skin, central nervous system and bony growth plates, and respond dramatically to treatment with IL-1 blocking agents. We compared the cellular infiltrates and transcriptome of skin biopsies from patients with NOMID (n=14) before treatment [lesional (LS) and non-lesional (pre-NL) skin] and after treatment (post-NL) with the IL-1 blocker anakinra (recombinant IL-1 receptor antagonist, Kineret®), to normal skin (n=5). Abundant neutrophils distinguish LS skin from pre-NL and post-NL skin. CD11c+ dermal dendritic cells and CD163+ macrophages expressed activated caspase-1 and are the likely sources of cutaneous IL-1 production. Treatment with anakinra led to the disappearance of neutrophils, but CD3+ T cells and HLA-DR+ cells remained elevated. Among the upregulated genes IL-6, IL-8, TNF, IL-17A, CCL20, and the neutrophil defensins DEFA1 and DEFA3 were differentially regulated in LS tissues (compared to normal skin). Important significantly downregulated pathways included IL-1R/TLR signaling, type I and II cytokine receptor signaling, mitochondrial dysfunction, and antigen presentation. Differential expression and regulation of microRNAs and pathways involved in post-transcriptional modification are indicative of epigenetic modification in the various tissue states. Overall, the dysregulated genes and pathways suggest extensive “adaptive” mechanisms to control inflammation, and maintain tissue homeostasis in the skin of patients with NOMID.",23.0,Expression profiling by array,Homo sapiens,,FREITEXT_WACHSTUMSFUGE,HAND,-,Handsichtung
GSE241507,Type I IFN signaling pathway promotes osteoblast differentiation through targeting Sox9.,This SuperSeries is composed of the SubSeries listed below.,22.0,Expression profiling by high throughput sequencing,Homo sapiens; Mus musculus,,CCD_CMPD,HAND,-,Handsichtung
GSE77758,Microarray and miRNA expression data from five Ehlers-Danlos Syndrome Hypermobility type/Joint Hypermobility Syndrome (EDS-HT/JHS) patients' skin fibroblasts,This SuperSeries is composed of the SubSeries listed below.,22.0,Expression profiling by array; Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS,HAND,-,Handsichtung
GSE134386,Molecular Fingerprints of Borderline Changes of Kidney Allografts is Influenced by Donor Category,"The fate of transplanted kidneys is substantially influenced by the graft quality as transplantation of kidneys from elderly and expanded criteria deceased donors (ECD) is associated with higher occurrence of delayed graft function, rejection and inferior long term outcome. Little is known about early molecular fingerprints of these events in different donor categories. Borderline changes represent the most frequent histological finding early after kidney transplantation. Therefore,  transcriptomic profiles of early case biopsies diagnosed as borderline changes were studied in ECD, standard criteria deceased donors (SCD) and living donor (LD) kidney transplantation using  RNA microarray (Agilent SurePrintG3). The increased transcripts typical for ECD as compared to LD (n=437) showed enrichment of extracellular matrix (ECM) -receptor interaction (p=0.004) and complement and coagulation pathways (p=0.004) and GO terms related to platelet activation, blood coagulation, regulation of cell cycle, acute inflammatory response, wound healing or defense response (p<0.001).   Gene annotation analysis of transcripts with increased expression in ECD grafts compared to SCD (n=244) showed the highest enrichment of inflammatory response (p=0.013), response to wounding (p=0.001) and defense response (p=0.005) and ECM-receptor interaction pathway (p=0.043). Comparative gene expression overlaps of ECD, SCD and LD using Venn’s diagrams found 62 up- and 16 down-regulated genes in ECD compared to both LD and SCD. Shared increased transcripts in ECD vs. both SCD and LD included, thrombospondin 2 (THBS2), angiopoietin-like 4 (ANGPTL4), collagens (COL6A3, COL1A1), chemokines CCL13 or interleukin IL11 and most significant down-regulated transcripts included proline rich 35 (PRR35) and fibroblast growth factor 9 (FGF9).  Transcriptomic profile of higher inflammation and extracellular matrix remodeling in early borderline changes in the ECD kidney allografts suggest mechanisms how ischemia/reperfusion injury aggravates alloimmune response in the presence of chronic vascular changes.",21.0,Expression profiling by array,Homo sapiens,,OI,HAND,-,Handsichtung
GSE159778,A comprehensive library of human transcription factors for cell fate engineering (Bulk RNA-Seq),"Human pluripotent stem cell (hPSC)-derived cells offer an unprecedented opportunity to model diverse human tissue functions. However, the field lacks a generalized approach to rapidly and efficiently generate individual cell types of interest and to incorporate them into complex but defined tissues. To systematically explore the transcription factor (TF)-mediated hPSC programming landscape, we constructed the Human TFome: a comprehensive human TF library containing 1,564 TF (1,732 splice-isoforms). We discovered 241 previously unreported factors that individually converted hPSCs into diverse lineages with up to 99% efficiency in four days without alteration of external factors. Among these, we programmed neurons, fibroblasts, oligodendrocytes and endothelial cells that have molecular, transcriptomic and functional similarity to primary cells. Splice-isoform-specificity doubled endothelial conversion efficiency into in vivo-functional cells. Our cell-autonomous approach enabled parallel and orthogonal hPSCs programming into multiple cell types simultaneously without altering any microenvironmental cues. We generated in vivo-engraftable induced oligodendrocytes that expedited myelination within synthetically accelerated cerebral organoids.",21.0,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE309060,Impact of hyaluronic acid coating of collagen membranes: RNAseq of gingival fibroblasts,"Collagen membranes are commonly used biomaterials in clinical dentistry that can be coated with hyaluronic acid (HA). To investigate fibroblast responses, gingival fibroblasts were seeded on porcine-derived membranes originating from dermis (Mucoderm®) and pericardium (Collafleece®) —with or without lyophilized HA, followed by bulk RNA sequencing. Mucoderm® and Collafleece® elicited a significant transcriptional response compared to fibroblasts grown on tissue culture surfaces. Compared to Mucoderm®, Collafleece® increased the expression of extracellular matrix genes CCN1, CCN2, COL1A1, POSTN, SPARC, TAGLN, FBN2, CCDC80 and CREB3L1. Decreased genes included the proteases MMP3 and MMP10 but also detoxifying genes MT1E, MT2A, HMOX1, NQO1. RNA sequencing further revealed that HA coating increased IL24 in Mucoderm®, but no increasing changes was observed in Collafleece®. These data suggest that Collafleece® has a comparably stronger positive impact on extracellular matrix formation by in gingival fibroblast than Mucoderm®. The results further imply that HA coating does consistently impact fibroblast behavior.",21.0,Expression profiling by high throughput sequencing,Homo sapiens,,OI,HAND,-,Handsichtung
GSE210826,HU308 Mitigates Osteoarthritis by Stimulating Sox9-Related Networks of Carbohydrate Metabolism,"Osteoarthritis (OA) is characterized by progressive, irreversible erosion of articular cartilage accompanied with severe pain and immobility. This study aimed to assess the effect and mechanism of action of HU308- a selective cannabinoid receptor type 2 (CB2) agonist, in potentially preventing OA-related joint damage. To test this assumption, Cn2r null mice and WT mice were aged to reach 20 months, and analyzed for joint structural  features.  OA was induced in Wild type (WT) mice via ageing or post-traumatic procedure, followed by HU308 systemic (intraperitoneal) or local (intra-articular) administration, respectively.  Additional analysis of time and dose courses for HU308 were carried out in human primary chondrocytes, analyzed by RNA-sequencing, RT-PCR, ChIP and immunoblotting. Our results show that Cnr2r null mice exhibited enhanced age-related OA severity and synovitis compared to age-matched WT mice.  Systemic administration of HU308 to 16-month mice improved pain sensitivity and maintained joint integrity, which was consistent with the intra-articular administration of HU308 in post-traumatic OA mice. When assessing human chondrocytes treated with HU308, we uncovered a dose- and time related increase in ACAN and COL2A1 expression, which was preceded by increased SOX9 expression due to pCREB transcriptional activation of the SOX9 gene. Finally, transcriptomic analysis of patient-derived human chondrocytes, identified HU308 populations exhibiting enhanced SOX9 expression, accompanied by enriched gene networks related to carbohydrate metabolism. Collectively, the results show that HU308 reduced trauma and age-induced OA, via CB2-pCREB dependent activation of SOX9, contributing to augmented genes networks related to metabolism.",21.0,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE290015,Amniotic Fluid Reduces Liver Fibrosis By Attenuating Hepatic Stellate Cell Activation,"Background & Aims: Persistent activation of hepatic stellate cells (HSCs) drives liver fibrosis, marked by myofibroblast activation (MFA) and epithelial-mesenchymal transition (EMT). Strategies to prevent or reverse this will be critical to treat liver fibrosis successfully. We previously showed that full-term, cell-free human amniotic fluid (cfAF) inhibits MFA and EMT in fibroblasts in vitro. We hypothesize that cfAF treatment can attenuate HSC activation and limit liver fibrosis.  Methods: HSC activation was assessed using murine models of acute (DMN) and chronic (CCl4) liver damage, three-dimensional hepatic spheroids, and HSC cultures. EMT and MFA were induced in vitro using ethanol (spheroids) or TGFβ (HSCs) and evaluated via scratch assays, multi-omics approaches, and RNA/protein analyses.  Results: cfAF treatment prevented weight loss in mice with chronic liver damage without adverse events. Histological analysis revealed a modest reduction in fibrosis with preserved liver architecture in both chronic and acute murine liver damage models. Gene expression profiling and immunostaining indicated cfAF administration to CCl4-treated mice led to reduced EMT- and MFA-related biomarkers along with changes in transcripts associated with liver metabolism, immune regulatory pathways, and cell signaling. In hepatic spheroids exposed to ethanol cfAF treatment lowered COL1A1 protein levels and smooth muscle actin (SMA) RNA abundance in a dose-dependent manner. Treating primary or LX2 hepatic stellate cells with cfAF strongly represses EMT, and multi-omics analyses revealed that it also attenuates TGFβ-induced MFA and the inflammatory phenotype. Thus cfAF treatment prevents liver fibrosis by safeguarding hepatic stellate cell activation.  Conclusions: cfAF treatment limits liver fibrosis by repressing HSC activation in liver fibrosis models. These findings suggest cfAF may be a safe and effective therapy for reducing liver fibrosis and preventing the development of cirrhosis and/or hepatocellular carcinoma.",21.0,Expression profiling by high throughput sequencing,Homo sapiens,,OI,HAND,-,Handsichtung
GSE64264,Functional Retinal Pigment Epithelium-like Cells from Human Fibroblasts,"The retinal pigment epithelium (RPE) provides vital support to photoreceptor cells and its dysfunction is associated with the onset and progression of age-related macular degeneration (AMD). Surgical provision of RPE cells may ameliorate AMD and thus it would be valuable to develop sources of patient-matched RPE cells for this application of regenerative medicine. We describe here the generation of functional RPE-like cells from fibroblasts that represent an important step toward that goal.  We identified candidate master transcriptional regulators of RPEs using a novel computational method and then used these regulators to guide exploration of the transcriptional regulatory circuitry of RPE cells and to reprogram human fibroblasts into RPE-like cells.  The RPE-like cells share key features with RPEs derived from healthy individuals, including morphology, gene expression and function, and thus represent a step toward the goal of generating patient-matched RPE cells for treatment of macular degeneration.",20.0,Expression profiling by array,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE157587,Reiterative infusions of MSCs improve pediatric Osteogenesis Imperfecta eliciting a pro-osteogenic paracrine response: TERCELOI clinical trial,"Osteogenesis Imperfecta (OI) is a genetic, rare disease characterized by bone fragility, with a wide range in the severity of clinical manifestations. The majority of the cases are due to mutations in COL1A1 or COL1A2 genes which code for the type I collagen molecule. Mesenchymal stem cells (MSCs), as the progenitors of the osteoblasts, the main type I collagen secreting cell type in the bone, have been proposed and tested as an innovative therapy for OI with promising but transient outcomes. In this study, we performed a phase I clinical trial based on reiterative infusions of histocompatible MSCs in two pediatric patients affected by severe and moderate OI. The aim of this study was to assess the safety and effectiveness of this cell therapy in non-immunosuppressed OI patients. The host response to MSCs was also evaluated by collecting the sera from OI patients before, along and after the cell therapy. The results of this clinical trial are twofold: the sequential administration of MSCs is safe and improve the bone parameters and quality of life of OI patients. Moreover, MSCs therapy elicits a pro-osteogenic paracrine response in patients, especially noticeable in that affected by severe OI. These results indicate the feasibility and potential of reiterative MSCs infusion for OI and highlight the paracrine response shown by OI patients as a consequence of MSCs treatment. Study design and patients: The Mesenchymal Stem Cell Therapy for the Treatment of Osteogenesis Imperfecta (TERCELOI) study (www.clinical trials.gov: # NCT02172885, EudraCT number: 2012-002553-38) is an independent multi-center Phase I clinical trial to evaluate the feasibility, safety and potential efficacy of infused sibling HLA-matched MSCs in non-immunosuppressed children with OI. PBMCs isolation and serum collection: Venous blood samples were collected before the cell therapy (basal serum), along the cell therapy (1 week, 1 month and 4 months after each MSCs infusion) and during the follow-up period (1 and 2 years after the fifth and last MSCs infusion). MLR assay: PBMCs isolated from patients were resuspended in PBS+FBS (5%) and stained with carboxyfluoroscein succinate-ester (CFSE) (Molecular Probes, USA). Bone mineral density: Bone mineral density (BMD) at the lumbar spine (LS) from L1 to L4, was measured by dual energy x-ray absorptiometry (DXA) on a whole-body scanner within a pediatric platform (Hologic QDR densitometer). Raw measurements were converted to Z-scores for analysis using reference standards for age and pubertal status. OI-MSCs isolation and characterization and culture: OI-MSCs were derived from discarded and donated bone fragments of OI pediatric patients undergoing corrective surgery. All patients suffered Type III-IV OI, with mutations in either COL1A1 or COL1A2 genes. The donation was approved by the Basque Clinical Research Ethics Committee. Briefly, bone chips were mechanically flushed with PBS and then cut into small pieces to extrude cells without the use of enzymes. The cut bone pieces were let undisturbed during 14 days until OI-MSCs migrated to cell culture plate. OI-MSCs were assessed for the expression of CD105, CD90 and CD73 and the absence of CD14, CD34, CD45, CD19 and HLA-DR. MSCs were also tested for their potential to differentiate to osteoblasts and adipocytes using specific cell culture media. OI-MSCs were cultured under standard growth medium (DMEM low glucose with glutamax (Gibco), penicillin/streptomycin (Gibco) and fetal bovine serum at 10% (Sigma-Aldrich, USA). Osteogenesis induction medium (OIM) was composed of standard medium plus ascorbic acid 0.2 mM, beta-glycerophosphate 10 mM, and dexamethasone 10 nM (all from Sigma-Aldrich). When specified, FBS was replaced by P01 and P02 serum samples at 2.5%. RNAseq and Q-PCR validation: OI-MSCs from 10 OI pediatric patients were seeded in 96-well plates (1 000 cells/well) and the following day cultured in the presence of OIM. Next, total RNA was isolated with the AllPrep kit (QIAGEN, USA). cDNA library (TrueSeq stranded Total cDNA library, Illumina, USA) and sequencing at HiSeq 4000 (PE100nt, 50 million reads/sample).",20.0,Expression profiling by high throughput sequencing,Homo sapiens,,OI,HAND,-,Handsichtung
GSE246390,Molecular Response to Biomechanical Loading in Human Growth Plate Cartilage,"Understanding the effects of biomechanical loading on human growth plate cartilage, which are unknown so far, could uncover diagnostic and therapeutic avenues. To address this, we used rare human growth plate biopsies obtained from children undergoing epiphysiodesis. These biopsies were exposed to a precisely controlled mechanical loading application using a microloading device. Subsequently, the biopsies were cultured for 24 hours post-mechanical loading, followed by RNA-sequencing analyses to decipher the molecular responses.",19.0,Expression profiling by high throughput sequencing,Homo sapiens,,FREITEXT_WACHSTUMSFUGE,HAND,-,Handsichtung
GSE266974,Eicosatetraynoic Acid Regulates Pro-Fibrotic Pathways in an Induced Pluripotent Stem Cell Derived Macrophage:Human Intestinal Organoid Model of Crohn’s Disease II,"Background: We previously reported Crohn’s Disease (CD) ileal macrophage and fibroblast gene expression modules linked to future strictures, and identified small molecules which may reverse this gene signature. Here we developed a model system to test a lead candidate, eicosatetraynoic acid (ETYA), a Peroxisome Proliferator-Activated Receptor (PPAR) agonist. Methods: CD patient induced pluripotent stem cells (iPSC) were differentiated into macrophages and human intestinal organoids (HIOs).  Macrophages and macrophage:HIO co-cultures were exposed to lipopolysaccharide (LPS) with and without ETYA pre-treatment. Cytospin and flow cytometry characterized macrophage morphology and activation markers, and RNA sequencing defined the global pattern of macrophage gene expression. TaqMan Low Density Array, Luminex multiplex assay, immunohistologic staining, and sirius red polarized light microscopy were performed to measure macrophage cytokine production and HIO pro-fibrotic gene expression and collagen content. Results: iPSC-derived macrophages exhibited morphology similar to primary macrophages and expressed inflammatory macrophage cell surface markers including CD64 and CD68. LPS-stimulated macrophages expressed a global pattern of gene expression enriched in CD ileal inflammatory macrophages and matrisome secreted products, and produced cytokines and chemokines including CCL2, IL1B, and OSM implicated in refractory disease. ETYA suppressed CD64 abundance and pro-fibrotic gene expression pathways in LPS stimulated macrophages. Co-culture of LPS-primed macrophages with HIO led to up-regulation fibroblast activation genes including ACTA2 and COL1A1, and an increase in HIO collagen content.  ETYA pre-treatment prevented pro-fibrotic effects of LPS-primed macrophages. Conclusions: ETYA inhibits pro-fibrotic effects of LPS-primed macrophages upon co-cultured HIO. This model system may be used to screen personalized effects of candidate small molecules upon inflammatory and fibrotic pathways implicated in refractory CD patients.",18.0,Expression profiling by high throughput sequencing,Homo sapiens,,OI,HAND,-,Handsichtung
GSE251698,MUTATIONS IN FIBRONECTIN IMPAIR CHONDROGENESIS IN CORNER FRACTURE TYPE SPONDYLOMETAPHYSEAL DYSPLASIA,"The study aims to investigate  molecular consequences of mutations in  matrix glycoprotein fibronectin (FN) in  pathological condition corner fracture type  spondylometaphyseal dysplasia (SMDCF).  SMDCF is a rare group of skeletal dysplasia  wherein the patients are characterized by  severe skeletal anomalies such as short  stature, scoliosis , coxa vara, genu varum and more.  To investigate the molecular mechanism underlying the pathogenesis of SMDCF, we analyzed  the cellular transcriptome of SMDCF patient using next generation RNA sequencing on  iPSC derived mesenchymal stem cells and  chondrocytes.",18.0,Expression profiling by high throughput sequencing,Homo sapiens,,FREITEXT_DYSPLASIE|FREITEXT_KLEINWUCHS,HAND,-,Handsichtung
GSE256243,Cyclic compressive loading induces a mature meniscal cell phenotype in mesenchymal stem cells with an atelocollagen-based scaffold,"we investigated how cyclic compressive loading (CCL) could impact MSCs using three-dimensional cultures in atelocollagen-based meniscal substitute (ACMS). We extracted MSCs from the meniscus, synovium, and articular cartilage, cultured them in three-dimensional cultures, and submitted to CCL for seven days. We then compared the transcriptomes of MSCs treated with and without CCL. Our RNA-seq analysis revealed that CCL induced significant transcriptome changes, significantly affecting chondrocyte-related genes, including SOX9, TGFB1, and PRG4 upregulation. CCL-induced transcriptional differentiation from meniscus progenitors toward mature meniscal cells.",18.0,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE162892,RNA sequencing on iPSC-derived iSOX9-astrocytes,"We generated a stable healthy and diseased (with ALS-linked FUS-R521H mutation) iPSC line containing the coding sequence of SOX9 under a Tet-on promotor in the safe harbor AAVS1 locus via recombinase-mediated cassette exchange. This allows the induction of SOX9 expression after doxycycline addition and generates in this way PSC-derived astrocytes. RNASeq is performed on these healthy and diseased iSOX9-astrocytes at an early and late timepoint. In addition, we included commercially available PSC-derived astrocytes (called ""iCell"") and fetal human primary astrocytes (called ""fHA"").",18.0,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE324067,mTOR signalling mediates the spinal osteoblast pathotype at the curve apex in adolescent idiopathic scoliosis,"Adolescent idiopathic scoliosis (AIS) is associated with dysregulated bone remodelling, yet the molecular underpinnings remain unclear. To investigate site-specific osteoblast phenotypes at the spinal curve apex, we performed bulk RNA sequencing on primary matched osteoblasts isolated from the convex, concave, and non-curved regions of AIS patients. Principal component analysis revealed distinct transcriptional clustering by spinal site, independent of patient-specific factors. Differential expression analysis identified region_x0002_specific molecular profiles in convex and concave osteoblasts compared to non-curve controls, with the mTOR pathway being highlighted as one of the most dysregulated. Rapamycin, an mTOR inhibitor, reduced Alkaline phosphatase (ALP) activity, Osteoprotegerin (OPG) secretion, and mineralization, while modulating osteogenic gene expression, including sustained upregulation of RUNX2 and COL1A1. In AIS patient-derived osteoblasts, rapamycin elicited region-specific responses, with pronounced inhibition of mTOR signalling and osteogenic activity in convex cells compared to control. Convex osteoblasts also showed elevated mTOR expression but reduced downstream translation-related signalling, suggesting dysregulated or uncoupled mTOR activity. Notably, mTOR expression level correlated with curve severity, reinforcing the link between mTOR dysregulation and AIS pathology. These findings identify mTOR signalling as a key regulatory pathway in AIS osteoblast dysfunction and highlight rapamycin as a potential, though complex, therapeutic candidate.",18.0,Expression profiling by high throughput sequencing,Homo sapiens,,OI|CCD_CMPD,HAND,-,Handsichtung
GSE689,GSEp53_v_Con,"HMF3A cells, created from adult human mammary fibroblasts by immortalisation with a thermolabile SV40 large T antigen and the catalytic sub-unit of human telomerase, undergo co-ordinated induction of cellular senescence upon inactivation of T antigen. Given the importance of p53, we sought to determine what gene changes were affected if its activation was inhibited. To do this we used the Genetic Suppressor Element (GSE)56 which inhibits the transcriptional activity of p53 (Ossovskaya, 1996). The presence of the GSEp53 delayed the arrest of the HMF3A cells when LT was inactivated. However the cells did arrest. We thus examined the array profiles for 3A-GSEp53 cells after 2 and 7 days of LT inactivation (against 3A-GSEp53 cells at 33°C) and compared these to the profiles for 3A-puro cells. Keywords = p53 Keywords = LT antigen Keywords = fibroblast Keywords = senescence Keywords = Rb Keywords: other",18.0,Expression profiling by array,Homo sapiens,,MPS,HAND,-,Handsichtung
GSE62721,Molecular Mechanisms Regulating the Defects in Fragile X Syndrome Neurons Derived from Human Pluripotent Stem Cells,"Fragile X syndrome (FXS) is caused by the absence of the fragile X mental retardation protein (FMRP). We have previously generated FXS-induced pluripotent stem cells (iPSCs) from patients' fibroblasts. In this study, we aimed at unraveling the molecular phenotype of the disease. Our data revealed aberrant regulation of neural differentiation and axon guidance genes in FXS-derived neurons, which are regulated by the RE-1 silencing transcription factor (REST). Moreover, we found REST to be elevated in FXS-derived neurons. As FMRP is involved in the microRNA (miRNA) pathway we employed microRNA-array analyses and uncovered several miRNAs dysregulated in FXS-derived neurons. We found hsa-mir-382 to be down-regulated in FXS-derived neurons, and introduction of mimic-mir-382 into these neurons was sufficient to repress REST and up-regulate its axon guidance target genes. Our data link, FMRP and REST, through the miRNA pathway, and show a new aspect in the development of FXS.",18.0,Non-coding RNA profiling by array; Expression profiling by array,synthetic construct; Homo sapiens,,MPS,HAND,-,Handsichtung
